ImageNumber,resource,OrderNumber,Title,VUtemp_ImageTitle,VUtemp_keywords,TitleLargerEntity,LocationCountry,Description,Culture,StylePeriod,DateCreation,CreatorArtist,Technique,Material,MeasurementDimension,LocationCurrentSite,Notes,DateCreated,DateUpdated,StaffNotes,DateDigitized,SourcePage,Fig. No,SourceTitle,SourceAuthor,CopyrightStatement,SourceCallNo,SourceISBN,SourcePubYear,SourcePubCity,SourcePublisher,PubVolume,PubIssue,MDID_Source,LocationCreationSite,MDID_Location,MDID_title,
59150,59150,2010,François Vase,Full view,,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 85,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece",François Vase; Full view,
59151,59151,2010,François Vase,Side view,,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 86,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece",François Vase; Side view,
59152,59152,2010,François Vase,Side view,,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 87,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece",François Vase; Side view,
59153,59153,2010,François Vase,Side B,,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 88,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece",François Vase; Side B,
59154,59194,2010,François Vase,"Detail from upper frieze of neck, side B, bearing signatures of Kleitias and Ergotimos near scene of Theseus landing on Delos ",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 89,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side B, bearing signatures of Kleitias and Ergotimos near scene of Theseus landing on Delos ",
59155,59155,2010,François Vase,"Detail from upper frieze of shoulder, side A, bearing signature of Ergotimos within scene of Wedding of Peleus and Thetis",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 89,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side A, bearing signature of Ergotimos within scene of Wedding of Peleus and Thetis",
59156,59156,2010,François Vase,"Detail from upper frieze of shoulder, side A, bearing signature of Kleitias within scene of Wedding of Peleus and Thetis",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 89,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side A, bearing signature of Kleitias within scene of Wedding of Peleus and Thetis",
59157,59157,2010,François Vase,"Detail from upper frieze of neck, side B: Theseus and companions landing on Delos  ",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 90,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side B: Theseus and companions landing on Delos  ",
59158,59158,2010,François Vase,"Detail from upper frieze of neck, side B: Disembarkation and Dance Procession of Athenian Youths and Maidens on Delos",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 91,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side B: Disembarkation and Dance Procession of Athenian Youths and Maidens on Delos",
59159,59159,2010,François Vase,"Detail from upper frieze of neck, side B: Disembarkation and Dance Procession of Athenian Youths and Maidens on Delos",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 91,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side B: Disembarkation and Dance Procession of Athenian Youths and Maidens on Delos",
